,label,distance_type,algorithm,precision,radius_min,silhouette_mean,silhouette_max,rand_index_mean,rand_index_max,exec_time_mean
83,mammographic_mass,euclidean,Busca Binaria 2,6,6.0475413711608565,0.9081562441083264,0.9081562441083264,0.0003320449777925208,0.0003320449777925208,0.4939823780000552
84,mammographic_mass,manhattan,Busca Binaria 1,2,10.027863830792615,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.0013335782000164424
85,mammographic_mass,manhattan,Busca Binaria 1,20,9.98853947464464,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.008374161633302417
86,mammographic_mass,manhattan,Busca Binaria 1,3,10.027863830792615,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.0016752375666555964
87,mammographic_mass,manhattan,Busca Binaria 1,4,10.027863830792615,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.002020842366702406
88,mammographic_mass,manhattan,Busca Binaria 1,5,10.027863830792615,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.0022326257333285565
89,mammographic_mass,manhattan,Busca Binaria 1,6,10.341234575504885,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.0027402744333206402
90,mammographic_mass,manhattan,Busca Binaria 2,2,15.041795746188923,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.00956679199998689
91,mammographic_mass,manhattan,Busca Binaria 2,20,9.401122341368076,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.13036229299996194
92,mammographic_mass,manhattan,Busca Binaria 2,3,10.027863830792615,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.019505805000108012
93,mammographic_mass,manhattan,Busca Binaria 2,4,12.534829788490768,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.008674360999975761
94,mammographic_mass,manhattan,Busca Binaria 2,5,11.281346809641692,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.010817444999929648
95,mammographic_mass,manhattan,Busca Binaria 2,6,9.714493086080346,0.8658553386638543,0.8658553386638543,0.0003320449777925208,0.0003320449777925208,0.03509946399981345
96,maternal_health_risk,euclidean,Busca Binaria 1,2,5.648508836602682,0.26435869481334834,0.3522798888684768,0.09890950577106677,0.22340013629523603,0.024205926366676067
97,maternal_health_risk,euclidean,Busca Binaria 1,20,4.589413429739679,0.2589470055911907,0.35408853776593174,0.060150693137549845,0.18844916926434052,0.18650355093335141
98,maternal_health_risk,euclidean,Busca Binaria 1,3,5.648508836602682,0.263673181107583,0.35415763237392983,0.06858518777409821,0.17082129106839095,0.028829081466634914
99,maternal_health_risk,euclidean,Busca Binaria 1,4,4.942445232027347,0.26336788321102506,0.6338310663611614,0.04663522035062278,0.14356138695381623,0.037480484366650066
100,maternal_health_risk,euclidean,Busca Binaria 1,5,4.942445232027347,0.2543917558328318,0.34545160185062995,0.05096943200725903,0.1991325875471273,0.053652128266685396
101,maternal_health_risk,euclidean,Busca Binaria 1,6,4.7659293308835124,0.268019357405055,0.35447519961920665,0.07828576736431342,0.20335461290399381,0.06026811759998054
102,maternal_health_risk,euclidean,Busca Binaria 2,2,5.648508836602682,0.24758633202022778,0.24758633202022778,0.12626627655196573,0.12626627655196573,0.5297587000000021
103,maternal_health_risk,euclidean,Busca Binaria 2,20,4.3694365211975175,0.2679997204701722,0.2679997204701722,0.0015046144294774914,0.0015046144294774914,0.7147603710000112
104,maternal_health_risk,euclidean,Busca Binaria 2,3,5.648508836602682,0.12029519808308473,0.12029519808308473,0.05038865167057899,0.05038865167057899,0.5417824040000596
105,maternal_health_risk,euclidean,Busca Binaria 2,4,4.942445232027347,0.26793783120925063,0.26793783120925063,0.008978493128173944,0.008978493128173944,0.5346900229999392
106,maternal_health_risk,euclidean,Busca Binaria 2,5,4.589413429739679,0.3263121613941475,0.3263121613941475,0.10777573977375114,0.10777573977375114,0.5692114919997948
107,maternal_health_risk,euclidean,Busca Binaria 2,6,4.589413429739679,0.3302993913133032,0.3302993913133032,0.13649631651880703,0.13649631651880703,0.5784157790001245
108,maternal_health_risk,manhattan,Busca Binaria 1,2,9.559389676305436,0.2546770558351722,0.3906195781249966,0.06739400805801594,0.18583558969646838,0.0010687969333351552
109,maternal_health_risk,manhattan,Busca Binaria 1,20,8.811978899001524,0.28697962951547606,0.3534624506816884,0.07714825187686132,0.18394516462839605,0.007436919166646779
110,maternal_health_risk,manhattan,Busca Binaria 1,3,8.364465966767256,0.2818993749865965,0.3657407424870689,0.09752530118055008,0.20621415210926727,0.0015337516000196653
111,maternal_health_risk,manhattan,Busca Binaria 1,4,9.559389676305436,0.29457570188832793,0.3779339460385767,0.07531396758256609,0.1914571568004216,0.0016703621333287325
112,maternal_health_risk,manhattan,Busca Binaria 1,5,8.6631968941518,0.29001013220594624,0.3814770955746874,0.08000269102248199,0.1903926499898421,0.0021420495333586585
113,maternal_health_risk,manhattan,Busca Binaria 1,6,8.364465966767256,0.29637249792780757,0.37596153952887745,0.06827305242237498,0.20054475947349681,0.0024406821333362435
114,maternal_health_risk,manhattan,Busca Binaria 2,2,9.559389676305436,0.27046408524017035,0.27046408524017035,0.11144867736305618,0.11144867736305618,0.028359066999882998
115,maternal_health_risk,manhattan,Busca Binaria 2,20,8.58685495122217,0.250804261726987,0.250804261726987,0.10200503265977415,0.10200503265977415,0.12134440700015148
116,maternal_health_risk,manhattan,Busca Binaria 2,3,8.364465966767256,0.32913186462821054,0.32913186462821054,-0.004676591713919517,-0.004676591713919517,0.021965867000062644
117,maternal_health_risk,manhattan,Busca Binaria 2,4,8.961927821536346,0.2993558695734361,0.2993558695734361,0.11108665120069447,0.11108665120069447,0.03265242699990267
118,maternal_health_risk,manhattan,Busca Binaria 2,5,8.6631968941518,0.25966925070323144,0.25966925070323144,0.04771342438329962,0.04771342438329962,0.04174529499982782
119,maternal_health_risk,manhattan,Busca Binaria 2,6,8.513831430459529,0.33227458555187833,0.33227458555187833,-0.004587792455867948,-0.004587792455867948,0.04247211300003073
120,raisin,euclidean,Busca Binaria 1,2,7.338062597943494,0.4148003500686743,0.5300899735123911,0.09555261354943509,0.36735540665625604,0.00985581130000431
121,raisin,euclidean,Busca Binaria 1,20,6.856143936115661,0.4728968202047813,0.6218985889204124,0.06426270756872503,0.2837386153209141,0.13916925130001043
122,raisin,euclidean,Busca Binaria 1,3,7.338062597943494,0.501216789564247,0.6411105755491125,0.11511167797110534,0.48323622487466455,0.027577054233339972
123,raisin,euclidean,Busca Binaria 1,4,7.338062597943494,0.4995860867632094,0.6218985889204124,0.1040223145870692,0.5242906096006905,0.03191898363334834
124,raisin,euclidean,Busca Binaria 1,5,6.879433685572025,0.5100690107687396,0.6218985889204124,0.07002710824233944,0.3783078376587822,0.03497850523333076
125,raisin,euclidean,Busca Binaria 1,6,6.420804773200556,0.4804235284275641,0.6411105755491125,0.13334102136739362,0.44386145783472636,0.04242405310000095
126,raisin,euclidean,Busca Binaria 2,2,7.338062597943494,0.4118722755835937,0.4118722755835937,0.3921161948927993,0.3921161948927993,0.35266809999995985
127,raisin,euclidean,Busca Binaria 2,20,6.535475997537087,0.6218985889204124,0.6218985889204124,-9.712037217581318e-06,-9.712037217581318e-06,0.7099079810000148
128,raisin,euclidean,Busca Binaria 2,3,6.420804773200556,0.48255392203072683,0.48255392203072683,0.11203428313404416,0.11203428313404416,0.5710177180000073
129,raisin,euclidean,Busca Binaria 2,4,6.879433685572025,0.6218985889204124,0.6218985889204124,-9.712037217581318e-06,-9.712037217581318e-06,0.6204199259999541
130,raisin,euclidean,Busca Binaria 2,5,7.10874814175776,0.6043468583765051,0.6043468583765051,1.0107599294707103e-05,1.0107599294707103e-05,0.658838216999925
131,raisin,euclidean,Busca Binaria 2,6,6.420804773200556,0.4655514941596246,0.4655514941596246,0.1871504439787889,0.1871504439787889,0.6610789799999566
132,raisin,manhattan,Busca Binaria 1,2,14.206282032768899,0.524689774788062,0.5980815620422105,0.03982613257383911,0.2538236575183877,0.0007951354000018304
133,raisin,manhattan,Busca Binaria 1,20,15.235183974732667,0.5146397418850488,0.6051513048753812,0.11906913892321719,0.4894382734243669,0.005162611566674968
134,raisin,manhattan,Busca Binaria 1,3,14.206282032768899,0.5056711249848711,0.5721901894092507,0.1101590815978755,0.42620902643392017,0.0010564655666750393
135,raisin,manhattan,Busca Binaria 1,4,16.573995704897047,0.5096143681779778,0.6265180037787835,0.09671643672707209,0.4925644938369518,0.0012434473333200913
136,raisin,manhattan,Busca Binaria 1,5,14.206282032768899,0.505849657270577,0.6051513048753812,0.15277906957658963,0.3948439173367954,0.001393016566657934
137,raisin,manhattan,Busca Binaria 1,6,13.61435361473686,0.5034771631420101,0.6265180037787835,0.13474864807899747,0.4894470331147985,0.0016428315333352353
