label,distance_type,algorithm,silhouette_mean,silhouette_std,rand_index_mean,rand_index_std,exec_time_mean,exec_time_std
13: 0.5,manhattan,KMeans,0.36977538736142807,0.0,0.5361602947358725,0.0,0.0016498565673828125,0.003963134914210171
13: 0.5,manhattan,Maiores Distancias,0.2863154047201469,0.059540130469049296,0.2859165203209588,0.09828421163084383,0.0011019309361775715,0.0039308751089928125
14: 0.5,euclidean,KMeans,0.38152279734445954,0.0,0.3044847729867338,0.0,0.001168370246887207,0.0029329586656280594
14: 0.5,euclidean,Maiores Distancias,0.23487914315194527,0.07250461826527775,0.11449613607710894,0.08685807276972714,5.3501129150390626e-05,0.00020412704709255977
14: 0.5,manhattan,KMeans,0.3890189178364066,0.0,0.3044847729867338,0.0,0.0018355210622151693,0.004766639092990426
14: 0.5,manhattan,Maiores Distancias,0.19998662394884162,0.05818932382307623,0.08601173714430084,0.07262490147536677,0.0012012004852294921,0.003573116155670719
15: 0.5,euclidean,KMeans,0.44432606938367164,0.0,0.6571668176560468,0.0,0.000623925526936849,0.003300674212625948
15: 0.5,euclidean,Maiores Distancias,0.32478604278506745,0.08314364992737183,0.3734753442891912,0.14876312955247967,0.00020426114400227865,0.00048553275632052373
15: 0.5,manhattan,KMeans,0.44753592098828354,0.0,0.6571668176560468,0.0,0.0024253527323404946,0.00535179324910752
15: 0.5,manhattan,Maiores Distancias,0.34004006332188086,0.06011553936506335,0.4104951695405674,0.10767944530711943,0.0008091926574707031,0.00293910923832085
16: 0.5,euclidean,KMeans,0.3700074379541261,0.0,0.34920121426975015,0.0,0.0008149782816569011,0.002618335476768836
16: 0.5,euclidean,Maiores Distancias,0.3136250177404457,0.05467156595637848,0.21766667367244985,0.11816825491837026,0.0005004405975341797,0.002741026039608344
16: 0.5,manhattan,KMeans,0.37432507001791426,0.0,0.34920121426975015,0.0,0.0017167886098225912,0.004822713248748056
16: 0.5,manhattan,Maiores Distancias,0.2729649887420195,0.06269334679219772,0.15325667270604945,0.10176882562794598,0.0006684541702270507,0.0025291001638413605
17: 0.5,euclidean,KMeans,0.3654482359719866,0.0,0.16392639881700038,0.0,0.00355832576751709,0.006259815816520726
17: 0.5,euclidean,Maiores Distancias,0.26632031982904164,0.03881276269478534,0.067228764204607,0.030346744376250557,0.00018171469370524088,0.00038376796727682496
17: 0.5,manhattan,KMeans,0.36678138932761384,0.0,0.16392639881700038,0.0,0.002196041742960612,0.005201577293606526
17: 0.5,manhattan,Maiores Distancias,0.2614804238214468,0.03777041716964919,0.07247574604622681,0.040001513280021446,0.00015013217926025392,0.000343516917368985
18: 0.5,manhattan,Maiores Distancias,0.2682634427157954,0.08511295410207598,0.27171645019224255,0.13506843475371436,0.0010993083318074544,0.0038658287804228717
18: 0.5,manhattan,KMeans,0.45938445766623204,0.0,0.5985716404485378,0.0,0.002092901865641276,0.0051676439232291
18: 0.5,euclidean,Maiores Distancias,0.3093632377504536,0.06199267875509478,0.31285957803552583,0.11724884450300062,0.000239864985148112,0.0005216087505736528
18: 0.5,euclidean,KMeans,0.44958581523928537,0.0,0.5985716404485378,0.0,0.0028171857198079427,0.0058292263449983475
19: 0.5,euclidean,KMeans,0.39460182341348143,0.0,0.5646659984442544,0.0,0.0022598902384440103,0.0054994042813538155
19: 0.5,euclidean,Maiores Distancias,0.257596114043604,0.043978446811091226,0.1648085557305192,0.09428148872040452,0.001304316520690918,0.003913825579479523
19: 0.5,manhattan,KMeans,0.4002998142042656,0.0,0.5646659984442544,0.0,0.0028393348058064777,0.005964951667241548
19: 0.5,manhattan,Maiores Distancias,0.2598733340389169,0.04908460959125399,0.1807190415663098,0.11693588692833427,0.0006500482559204102,0.0029567613641748765
20: 0.5,manhattan,Maiores Distancias,0.24697895678902254,0.07379109370402535,0.1519049957977572,0.09308548520314279,0.00011978944142659505,0.0003123281169817604
20: 0.5,manhattan,KMeans,0.34330599063606076,0.0,0.39186182120516244,0.0,0.0027881781260172527,0.005977334863245171
20: 0.5,euclidean,Maiores Distancias,0.2652322733878728,0.059777729876334465,0.16087419643753892,0.07528776945318949,0.0006846825281778972,0.0029400542620478098
20: 0.5,euclidean,KMeans,0.3328523264680874,0.0,0.39186182120516244,0.0,0.0005851586659749349,0.0026883600010067766
21: 1.0,manhattan,Maiores Distancias,0.2170858369546528,0.055852896013107785,0.09229704301230962,0.06939890212086265,0.0007098992665608724,0.0027496596802380723
21: 1.0,manhattan,KMeans,0.35224423472515537,0.0,0.20027150225724547,0.0,0.0006548245747884115,0.0030392244679851082
