Dataset,Distance,Radius,Algorithm,Silhouette Score,Adjusted Rand Index,Execution Time
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.29193231151084165,0.02979555225599681,0.005084848000024067
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.26939704780400314,0.023257938588282616,0.0056278849999671365
abstenteeism_at_work,manhattan,16.45567676029192,Busca Binaria 1,3,0.1868975286441225,0.017822615267732222,0.004490166999971734
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.21518379647754082,0.02759871832047503,0.0044442839999874195
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.22884376794113362,0.02179381154042258,0.0040473080000538175
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.1831532511494849,0.022192348878633313,0.0043107239999926605
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.22189469835415573,0.029140653466596507,0.004039110000007895
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.1359776923506209,0.02546735215259394,0.0048113990000047124
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.19132009798615715,0.01820651647885652,0.004156787000056283
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.2566019905629551,0.0340026126111039,0.004596278999997594
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.19121475835419796,0.027693273750993386,0.004720525000038833
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.2243321486476306,0.024932483419564198,0.0037636329999486406
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.24170949327769212,0.02098624239112871,0.004501882999988993
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.17652463473278834,0.030986046528620612,0.0053933629999392
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.26297967401302097,0.028182682125459213,0.005821407999974326
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.27355671654200964,0.03574533715157912,0.004676161000020329
